iter	RMSE
0	0.9627785327
1	0.9244262364
2	0.8976098951
3	0.8699899266
4	0.8502063082
5	0.8286792878
6	0.8139394076
7	0.7988900785
8	0.7887957636
9	0.7791408057
10	0.7686237412
11	0.7607527855
12	0.7543461455
13	0.7490710124
14	0.7415055985
15	0.7373549719
16	0.7337885048
17	0.7276826094
18	0.7242957335
19	0.7192198041
20	0.7163003724
21	0.71171883
22	0.7097382573
23	0.7062673009
24	0.7049489336
25	0.7022961396
26	0.6998025821
27	0.6980291481
28	0.6968927918
29	0.6952459373
30	0.6934999248
31	0.6922466531
32	0.6906073475
33	0.6895680817
34	0.6884706634
35	0.6875181744
36	0.6864003706
37	0.6850825503
38	0.6845485484
39	0.6837591222
40	0.6820574292
41	0.6815018222
42	0.680331623
43	0.6797412113
44	0.679388553
45	0.6787028861
46	0.677872428
47	0.6773791319
48	0.6763439588
49	0.6761238482
50	0.6756756329
51	0.6749894446
52	0.6743338927
53	0.6737128859
54	0.6733931838
55	0.6729195549
56	0.6722895461
57	0.6708305279
58	0.670208692
59	0.6689612097
60	0.6687681847
61	0.6686227674
62	0.6681503275
63	0.6676313022
64	0.6668234958
65	0.6664793879
66	0.6662372378
67	0.6657201607
68	0.6655378104
69	0.6650278862
70	0.6649511714
71	0.6645863523
72	0.6641893419
73	0.6641274039
74	0.6635922092
75	0.6631815569
76	0.6623988912
77	0.6620441041
78	0.6614736644
79	0.6611913276
80	0.6610271797
81	0.6607452725
82	0.6603288605
83	0.6599165589
84	0.6598277076
85	0.6593305131
86	0.6588481426
87	0.6585364736
88	0.6582835085
89	0.6580495312
90	0.6577821518
91	0.6570583288
92	0.6569132977
93	0.656548875
94	0.6562829319
95	0.6561793695
96	0.6560678167
97	0.6559111084
98	0.6555824391
99	0.6555486782
100	0.654880812
101	0.6546482305
102	0.6545422707
103	0.6539301576
104	0.6536712212
105	0.6536254857
106	0.6533721267
107	0.6532854254
108	0.6531109613
109	0.6528359484
110	0.6525108289
111	0.6524395642
112	0.6520401423
113	0.6518767776
114	0.6516704075
115	0.6513836817
116	0.6511310809
117	0.6508930296
118	0.6505378132
119	0.650440397
120	0.6502014957
121	0.6498982228
122	0.6497937735
123	0.649647196
124	0.6495342462
125	0.6492990518
126	0.6490536403
127	0.648885447
128	0.6486121862
129	0.6484163271
130	0.6482353314
131	0.6480953269
132	0.6478751606
133	0.6475661524
134	0.6473504233
135	0.6471287799
136	0.6469841219
137	0.646887005
138	0.6467613118
139	0.646678997
140	0.6465453004
141	0.6464630668
142	0.6463555872
143	0.6462640204
144	0.646121577
145	0.6459521162
146	0.6458883493
147	0.6456792432
148	0.6455907021
149	0.6454543902
150	0.6453437785
151	0.6452811762
152	0.6451498135
153	0.6450480827
154	0.6449832925
155	0.6449441867
156	0.6448469895
157	0.6447232204
158	0.6445865421
159	0.6444127312
160	0.6443282631
161	0.6440848739
162	0.6438909781
163	0.643832823
164	0.6436613504
165	0.6435393608
166	0.6433706892
167	0.6432684569
168	0.6430953131
169	0.6428783426
170	0.6428143585
171	0.6427346312
172	0.6425787495
173	0.6424435874
174	0.6423635323
175	0.642312926
176	0.6421421586
177	0.6420244706
178	0.6419240864
179	0.6418538748
180	0.6417928568
181	0.6416827461
182	0.6414498793
183	0.6413177565
184	0.6411380263
185	0.6410682526
186	0.640962477
187	0.6408887386
188	0.6407740011
189	0.6407355831
190	0.6406908307
191	0.6405493695
192	0.6405019421
193	0.6402765444
194	0.6401932387
195	0.6401559904
196	0.6400989901
197	0.6400236474
198	0.6399661723
199	0.6398866449
200	0.6397811328
201	0.639712626
202	0.6394818233
203	0.6394211206
204	0.6393356539
205	0.6393097003
206	0.6392108692
207	0.6391658894
208	0.639042716
209	0.6389975347
210	0.6389337686
211	0.6388913339
212	0.638684423
213	0.6386443772
214	0.6385112519
215	0.6383895204
216	0.6383051074
217	0.6381548222
218	0.6381106623
219	0.6379907412
220	0.6377950679
221	0.6377242667
222	0.6376460743
223	0.6376197213
224	0.6375599295
225	0.6373939998
226	0.6372692585
227	0.6371950029
228	0.6370867867
229	0.6369969899
230	0.6369691438
231	0.6369404478
232	0.6368547693
233	0.636782276
234	0.6367181108
235	0.636685542
236	0.6366738567
237	0.6366347153
238	0.636443649
239	0.6363720939
240	0.6362767813
241	0.6361740561
242	0.6360193131
243	0.6359293112
244	0.6358827222
245	0.6358353233
246	0.6355681732
247	0.6354475862
248	0.6354227454
249	0.6353054475
250	0.6351880088
251	0.6349431556
252	0.6348650688
253	0.6348028442
254	0.6346732772
255	0.6345591851
256	0.6345047413
257	0.6344555644
258	0.6343982834
259	0.6343288969
260	0.6341409271
261	0.6339869045
262	0.6339520937
263	0.6339432688
264	0.6338902492
265	0.6338241962
266	0.6338019715
267	0.6337634863
268	0.63373731
269	0.6336559169
270	0.6336411404
271	0.6335847274
272	0.6335254233
273	0.6333489362
274	0.633265093
275	0.6332358615
276	0.6332075897
277	0.6331620284
278	0.6331510201
279	0.633073266
280	0.6330490864
281	0.6329267209
282	0.6328761427
283	0.6328013485
284	0.6327572125
285	0.6326756827
286	0.6325750406
287	0.6325623082
288	0.6325288433
289	0.6323678022
290	0.6322565595
291	0.632179377
292	0.6321272934
293	0.6320927445
294	0.6320361675
295	0.6320093121
296	0.6319468831
297	0.6319348968
298	0.6318834509
299	0.6318590037
300	0.6318471863
301	0.6318163171
302	0.631762901
303	0.6316599401
304	0.6315897909
305	0.6315373149
306	0.6315287999
307	0.631503721
308	0.6314656182
309	0.6314119176
310	0.6313802401
311	0.6313232098
312	0.6313100928
313	0.6313066705
314	0.6311792702
315	0.6311716658
316	0.6310597273
317	0.6309254759
318	0.6308936214
319	0.6308903014
320	0.6307617889
321	0.6306978482
322	0.6306811664
323	0.6306131971
324	0.6305255672
325	0.6304744071
326	0.6303727469
327	0.6303179013
328	0.6302505904
329	0.6302220282
330	0.6301797948
331	0.6301375931
332	0.6300959973
333	0.6300552968
334	0.6300360947
335	0.6300020753
336	0.629911858
337	0.6298929508
338	0.6298758208
339	0.6298387148
340	0.6298055164
341	0.6297121485
342	0.6297049741
343	0.6296452283
344	0.6296153474
345	0.6295738007
346	0.6295018349
347	0.6294746728
348	0.629413033
349	0.6293641717
350	0.6293479143
351	0.6293283075
352	0.6293247422
353	0.6292697003
354	0.6291871468
355	0.6290660324
356	0.6290089915
357	0.6289659581
358	0.6289506858
359	0.6288058547
360	0.6287888328
361	0.6287578448
362	0.6287174276
363	0.6286163347
364	0.6286050445
365	0.6285640279
366	0.6285565558
367	0.6284695578
368	0.6284482434
369	0.6284069247
370	0.6283800385
371	0.628357562
372	0.6283224534
373	0.6282866307
374	0.6282408654
375	0.6282116907
376	0.6282060973
377	0.6281797947
378	0.6281228012
379	0.6280782016
380	0.6280427545
381	0.6280097598
382	0.6279605691
383	0.6279353339
384	0.6279206032
385	0.6278919652
386	0.6278673841
387	0.6277940541
388	0.6277765048
389	0.6277487427
390	0.6277017694
391	0.6276414477
392	0.6275193286
393	0.6275017542
394	0.6274745164
395	0.6274455444
396	0.62741267
397	0.62736433
398	0.6273502716
399	0.6273486402
400	0.6273045157
401	0.627267533
402	0.6272358069
403	0.6271851499
404	0.6271429373
405	0.6271370967
406	0.6271081541
407	0.6270632725
408	0.6270370423
409	0.6270286355
410	0.6270095684
411	0.6269793144
412	0.6269732324
413	0.6269387741
414	0.6268482514
415	0.6268003088
416	0.6267848884
417	0.6267549093
418	0.6267095195
419	0.6267072777
420	0.6266879064
421	0.6266726257
422	0.6266547982
423	0.6265919126
424	0.6265714452
425	0.6265643757
426	0.6264622146
427	0.6264580627
428	0.6264167118
429	0.6263986954
430	0.6263901094
431	0.626382552
432	0.6263252069
433	0.6263148522
434	0.626307036
435	0.6262690184
436	0.6262309945
437	0.6261602874
438	0.6261532437
439	0.626085551
440	0.6260063063
441	0.625971639
442	0.625900249
443	0.6258885906
444	0.6258837789
445	0.6258645151
446	0.6258468788
447	0.6258218474
448	0.6258161995
449	0.6258124665
450	0.6258043455
451	0.6258006141
452	0.6257960037
453	0.6257781798
454	0.62576803
455	0.6257680285
456	0.625709159
457	0.6256857968
458	0.6256623941
459	0.6256526442
460	0.6256335849
461	0.6256098993
462	0.6256069645
463	0.6255657489
464	0.6255499186
465	0.6255346674
466	0.6255110597
467	0.625484566
468	0.6254632617
469	0.6254347842
470	0.6254256591
471	0.625419022
472	0.6254143518
473	0.6253925373
474	0.6253589482
475	0.6253445528
476	0.625326129
477	0.6253261262
478	0.6253056858
479	0.6252991092
480	0.6252712597
481	0.625240704
482	0.6252341471
483	0.6251979977
484	0.6251780309
485	0.6251673308
486	0.6251237467
487	0.6251116296
488	0.6250511367
489	0.6249936681
490	0.6249649241
491	0.624957672
492	0.6249138274
493	0.6248538305
494	0.624840726
495	0.6248174718
496	0.6247308506
497	0.6247033761
498	0.6246747235
499	0.6246523798
500	0.6246441221
501	0.6245899825
502	0.624583609
503	0.6245679642
504	0.6245238679
505	0.6244860971
506	0.624429527
507	0.6244220771
508	0.62441138
509	0.6243886912
510	0.6243543405
511	0.6243409669
512	0.6243139491
513	0.6243019594
514	0.624267851
515	0.6242380147
516	0.6242271805
517	0.6242082678
518	0.6241919865
519	0.6241771404
520	0.6241567901
521	0.6241370341
522	0.6241256658
523	0.624104969
524	0.6240948469
525	0.6240784661
526	0.6240618892
527	0.6240451297
528	0.6240270592
529	0.6240127856
530	0.6239964593
531	0.623981591
532	0.6239775332
533	0.6239717709
534	0.6239272837
535	0.6239272837
536	0.6239043154
537	0.623872736
538	0.6238259093
539	0.6238112954
540	0.6237921872
541	0.6237643608
542	0.6237433529
543	0.6236682749
544	0.6236573207
545	0.6236007816
546	0.623599126
547	0.6235665501
548	0.6235594457
549	0.6235498262
550	0.6235096328
551	0.6234970454
552	0.6234317146
553	0.6234197784
554	0.6234097049
555	0.6234097048
556	0.6233866766
557	0.6233866766
558	0.6233739866
559	0.6233639874
560	0.6233529513
561	0.6233367476
562	0.6232822564
563	0.623249209
564	0.6232400652
565	0.6232295088
566	0.6231776058
567	0.6231704179
568	0.6231549017
569	0.6231450671
570	0.6231367439
571	0.6231134056
572	0.6231047656
573	0.6230935598
574	0.6230778045
575	0.6230609397
576	0.6230526933
577	0.6229841665
578	0.622964118
579	0.6229581719
580	0.6229522863
581	0.6229481841
582	0.6229481838
583	0.6229352924
584	0.622915932
585	0.6228945035
586	0.6228670329
587	0.622849791
588	0.6228181643
589	0.622762083
590	0.6227138607
591	0.6227045517
592	0.6226848649
593	0.6226569256
594	0.6226484082
595	0.6226388446
596	0.6226231795
597	0.6225745851
598	0.6225431726
599	0.6225326988
600	0.622519901
601	0.6225155917
602	0.6224902086
603	0.6224522
604	0.6224377586
605	0.622395392
606	0.622395377
607	0.6223851794
608	0.6223831009
609	0.6223751056
610	0.622360144
611	0.6223304001
612	0.6223064431
613	0.6223013524
614	0.6222897807
615	0.6222818918
616	0.6222716897
617	0.6222579203
618	0.6222501718
619	0.6222442314
620	0.6222292098
621	0.6222073029
622	0.6222048241
623	0.6221925517
624	0.622187189
625	0.6221807977
626	0.6221433931
627	0.6221345056
628	0.6221216
629	0.6220896363
630	0.6220847718
631	0.622073753
632	0.6220606149
633	0.6220441927
634	0.6220164271
635	0.6219901341
636	0.6219830293
637	0.6219723257
638	0.6219713461
639	0.6219489233
640	0.6219489233
641	0.6219361461
642	0.6219315216
643	0.6218916208
644	0.6218825419
645	0.6218580884
646	0.6218481995
647	0.6218335969
648	0.6218113076
649	0.621797054
650	0.6217563873
651	0.6217469714
652	0.6217260367
653	0.6216791469
654	0.6216722432
655	0.6216664827
656	0.6216649191
657	0.6216465169
658	0.6216359509
659	0.621627722
660	0.6216118662
661	0.6215957154
662	0.6215901735
663	0.6215829218
664	0.6215738483
665	0.6215679857
666	0.6215480412
667	0.621541277
668	0.6215233887
669	0.6215128754
670	0.6215066367
671	0.6215007767
672	0.6214817482
673	0.6214758206
674	0.6214456211
675	0.6214340756
676	0.6213987255
677	0.6213907098
678	0.6213890263
679	0.621375846
680	0.6213602082
681	0.621356649
682	0.6213487967
683	0.6213429606
684	0.6213286804
685	0.6213199242
686	0.6212989447
687	0.6212700098
688	0.6212470717
689	0.6212353173
690	0.6212263612
691	0.6212238647
692	0.6212158829
693	0.6212142883
694	0.6211945256
695	0.6211929859
696	0.6211570612
697	0.6211434321
698	0.6211047918
699	0.6211014991
700	0.6210840535
701	0.6210711696
702	0.6210663882
703	0.6210595006
704	0.6210436456
705	0.6210391885
706	0.6210301134
707	0.6210205241
708	0.6210032915
709	0.620994037
710	0.6209891303
711	0.6209843644
712	0.620977714
713	0.6209671126
714	0.6209593325
715	0.6209498848
716	0.6209475465
717	0.6209138051
718	0.6209080008
719	0.6209020291
720	0.6208863278
721	0.6208784538
722	0.6208539821
723	0.6208429602
724	0.6208401315
725	0.6208167458
726	0.6208167458
727	0.6208122708
728	0.6208024457
729	0.6207765207
730	0.6207670222
731	0.6207586993
732	0.6207586993
733	0.6207549183
734	0.6207476341
735	0.620737857
736	0.6207276283
737	0.6207207621
738	0.6207147135
739	0.6206991915
740	0.6206912667
741	0.6206638401
742	0.62064828
743	0.620638806
744	0.6206372581
745	0.6206120495
746	0.6206029236
747	0.620593259
748	0.6205858714
749	0.6205632476
750	0.6205615031
751	0.6205530563
752	0.6205415957
753	0.6205341927
754	0.6205326546
755	0.6205223549
756	0.6205016148
757	0.6205005147
758	0.6204914469
759	0.6204815784
760	0.6204581449
761	0.6204489702
762	0.6204455405
763	0.6204376053
764	0.6204356914
765	0.6204190516
766	0.6204110336
767	0.6203970044
768	0.6203892351
769	0.6203757346
770	0.6203686128
771	0.6203552595
772	0.6203447702
773	0.6203415875
774	0.6203343877
775	0.6203287883
776	0.6203188119
777	0.6203139444
778	0.6203115724
779	0.620304985
780	0.6203023243
781	0.6202963573
782	0.6202775737
783	0.6202775736
784	0.6202719174
785	0.6202638977
786	0.6202627506
787	0.620222848
788	0.6202130847
789	0.6201958554
790	0.6201885933
791	0.6201872884
792	0.6201831929
793	0.62018009
794	0.6201732591
795	0.6201722692
796	0.6201576216
797	0.6201560547
798	0.6201499377
799	0.6201439726
800	0.6201355162
801	0.6201266533
802	0.6201022415
803	0.6200974679
804	0.6200920537
805	0.6200638628
806	0.6200594188
807	0.6200575708
808	0.6200554211
809	0.6200534302
810	0.6200417485
811	0.6200417484
812	0.6200247897
813	0.620020251
814	0.6200041645
815	0.6199986553
816	0.6199809941
817	0.619971425
818	0.6199687259
819	0.6199586522
820	0.6199530722
821	0.619948211
822	0.6199454111
823	0.619932864
824	0.6199221982
825	0.6199200504
826	0.6199166509
827	0.61990916
828	0.6199024777
829	0.619901547
830	0.6198835497
831	0.6198686264
832	0.6198654158
833	0.6198638679
834	0.6198521933
835	0.6198322687
836	0.619818178
837	0.6198172706
838	0.6198144275
839	0.6198097618
840	0.6197922265
841	0.6197826625
842	0.6197814012
843	0.6197657938
844	0.6197639336
845	0.6197610784
846	0.6197542558
847	0.6197530279
848	0.6197490391
849	0.6197407869
850	0.6197319891
851	0.6197228376
852	0.6197084379
853	0.6197035132
854	0.6196977292
855	0.6196943048
856	0.6196943047
857	0.6196748258
858	0.6196739553
859	0.6196621604
860	0.6196617809
861	0.6196569272
862	0.6196532476
863	0.6196442856
864	0.6196433698
865	0.6196433698
866	0.6196384662
867	0.6196203389
868	0.6196073133
869	0.6196058252
870	0.6195890211
871	0.6195844171
872	0.6195764108
873	0.6195697993
874	0.6195553886
875	0.6195520093
876	0.6195508774
877	0.6195416312
878	0.6195385397
879	0.6195250794
880	0.6195145736
881	0.6195109754
882	0.6195086425
883	0.6195052458
884	0.6194907067
885	0.6194883058
886	0.6194883058
887	0.6194883058
888	0.6194830553
889	0.619477687
890	0.6194753001
891	0.6194731459
892	0.6194631572
893	0.6194601971
894	0.6194579889
895	0.6194492397
896	0.6194492363
897	0.6194477925
898	0.6194291238
899	0.6194245213
900	0.6194166284
901	0.6194132971
902	0.6194074023
903	0.6193889797
904	0.6193870906
905	0.6193870906
906	0.6193849084
907	0.6193849084
908	0.6193621987
909	0.6193466723
910	0.6193396643
911	0.6193379424
912	0.6193329603
913	0.6193273147
914	0.6193254391
915	0.6193192038
916	0.6193013381
917	0.6192999064
918	0.6192888982
919	0.6192784074
920	0.6192732919
921	0.6192687742
922	0.6192656521
923	0.6192611234
924	0.6192510771
925	0.6192438248
926	0.6192363814
927	0.6192355323
928	0.619231985
929	0.6192312474
930	0.6192178885
931	0.6192171788
932	0.6192061321
933	0.6192061321
934	0.6192026197
935	0.6191974515
936	0.6191891659
937	0.6191805804
938	0.6191774634
939	0.6191759724
940	0.6191671956
941	0.6191566748
942	0.6191525913
943	0.6191381773
944	0.6191381772
945	0.6191376294
946	0.6191331247
947	0.6191312008
948	0.6191235164
949	0.6191131695
950	0.6191074283
951	0.61910384
952	0.6190862936
953	0.6190839517
954	0.6190751518
