iter	Passed	Remaining
0	291	2918018
1	327	1634688
2	348	1162323
3	374	935324
4	394	788964
5	416	693105
6	436	622658
7	471	589175
8	546	606779
9	582	581800
10	607	551227
11	629	524059
12	650	499384
13	670	478077
14	692	460854
15	712	444756
16	733	430621
17	758	420761
18	796	418558
19	826	412308
20	848	403229
21	870	394867
22	891	386725
23	913	379593
24	932	372215
25	954	366105
26	986	364563
27	1017	362514
28	1039	357490
29	1061	352630
30	1082	348061
31	1103	343762
32	1128	340904
33	1154	338378
34	1175	334613
35	1195	330792
36	1236	332973
37	1260	330406
38	1279	326813
39	1298	323435
40	1320	320722
41	1340	317874
42	1362	315585
43	1383	313140
44	1403	310409
45	1424	308264
46	1457	308612
47	1494	309814
48	1518	308404
49	1536	305810
50	1556	303674
51	1577	301773
52	1597	299865
53	1618	298089
54	1638	296245
55	1660	294908
56	1702	296953
57	1725	295821
58	1747	294375
59	1769	293084
60	1788	291381
61	1808	289829
62	1828	288387
63	1848	287054
64	1883	287869
65	1910	287533
66	1932	286524
67	1952	285190
68	1971	283773
69	1991	282575
70	2010	281122
71	2031	280072
72	2050	278833
73	2067	277306
74	2092	276846
75	2130	278208
76	2154	277624
77	2176	276850
78	2198	276034
79	2219	275163
80	2238	274116
81	2258	273188
82	2279	272393
83	2301	271721
84	2337	272623
85	2364	272526
86	2385	271774
87	2405	270975
88	2426	270267
89	2449	269703
90	2468	268787
91	2490	268189
92	2509	267366
93	2548	268560
94	2573	268371
95	2593	267536
96	2617	267273
97	2654	268171
98	2681	268166
99	2698	267188
100	2721	266687
101	2740	265913
102	2760	265224
103	2801	266616
104	2823	266106
105	2840	265146
106	2860	264465
107	2880	263797
108	2900	263189
109	2920	262584
110	2940	261974
111	2959	261269
112	3015	263817
113	3050	264499
114	3071	264047
115	3095	263769
116	3115	263137
117	3136	262634
118	3158	262278
119	3195	263095
120	3219	262877
121	3242	262516
122	3262	261962
123	3282	261454
124	3302	260863
125	3322	260334
126	3342	259851
127	3361	259270
128	3395	259836
129	3426	260178
130	3452	260107
131	3473	259637
132	3493	259155
133	3513	258673
134	3534	258280
135	3555	257902
136	3575	257379
137	3594	256900
138	3629	257513
139	3656	257511
140	3677	257136
141	3696	256616
